Pays,Densité (P/Km2),Terre agricole (%),Superficie des terres (Km2),Taille des forces armées,Taux de natalité,Capitale / Ville principale,Émissions de CO2,IPC,Changement de l'IPC (%),Taux de fécondité,Superficie forestière (%),Prix de l'essence,PIB,Taux brut de scolarisation primaire (%),Taux brut de scolarisation tertiaire (%),Mortalité infantile,Plus grande ville,Espérance de vie,Ratio de mortalité maternelle,Salaire minimum,Langue officielle,Dépenses de santé à la charge du patient,Médecins pour mille,Participation à la force de travail (%),Recettes fiscales (%),Taux d'imposition total,Taux de chômage,Latitude,Longitude,Population Urbaine,Population,Continent
Bahamas,39.0,1,14,1.0,13.97,"Nassau, Bahamas",1.786,116.0,2,1.75,51,92.0,12827000000.0,81,15,8.3,"Nassau, Bahamas",73.8,70.0,525.0,English,28,1.94,75,15,34,10.36,25.03428,-77.39628,323784.0,389482.0,Amérique
Bahreïn,2.239,11,765,19.0,13.99,Manama,31.694,118.0,2,1.99,1,43.0,38574069149.0,99,50,6.1,Riffa,77.2,14.0,0.0,Arabic,25,0.93,73,4,14,0.71,26.0667,50.5577,1467109.0,1501635.0,Asie
Bangladesh,1.265,71,148,221.0,18.18,Dhaka,84.246,180.0,6,2.04,11,112.0,302571254131.0,116,21,25.1,Dhaka,72.3,173.0,51.0,Bengali,72,0.58,59,9,33,4.19,23.684994,90.356331,60987417.0,167310838.0,Asie
Barbade,668.0,23,430,1.0,10.65,Bridgetown,1.276,134.0,4,1.62,15,95.0,5209000000.0,99,65,11.3,Bridgetown,79.1,27.0,313.0,English,45,2.48,65,28,36,10.33,13.193887,-59.543198,89431.0,287025.0,Amérique
Biélorussie,47.0,42,208,155.0,9.9,Minsk,58.280,0.0,6,1.45,43,60.0,63080457023.0,100,87,2.6,Minsk,74.2,2.0,149.0,Russian,34,5.19,64,15,53,4.59,53.709807,27.953389,7482982.0,9466856.0,Europe
Belgique,383.0,45,31,32.0,10.3,City of Brussels,96.889,117.0,1,1.62,23,143.0,529606710418.0,104,80,2.9,Brussels,81.6,5.0,1031.0,French,18,3.07,54,24,55,5.59,50.503887,4.469936,11259082.0,11484055.0,Europe
Belize,17.0,7,23,2.0,20.79,Belmopan,568,106.0,-1,2.31,60,113.0,1879613600.0,112,25,11.2,Belize City,74.5,36.0,165.0,English,23,1.12,65,26,31,6.41,17.189877,-88.49765,179039.0,390353.0,Amérique
Bénin,108.0,33,113,12.0,36.22,Porto-Novo,6.476,111.0,-1,4.84,38,72.0,14390709095.0,122,12,60.5,Cotonou,61.5,397.0,39.0,French,40,0.08,71,11,49,2.23,9.30769,2.315834,5648149.0,11801151.0,Afrique
Bhoutan,20.0,14,38,6.0,17.26,Thimphu,1.261,167.0,3,1.98,72,98.0,2446674101.0,100,16,24.8,Thimphu,71.5,183.0,32.0,Dzongkha,20,0.42,67,16,35,2.34,27.514162,90.433601,317538.0,727145.0,Asie
Bolivie,11.0,35,1.098.581,71.0,21.75,Sucre,21.606,148.0,2,2.73,50,71.0,40895322865.0,98,0,21.8,Santa Cruz de la Sierra,71.2,155.0,136.0,Spanish,26,1.59,72,17,84,3.5,-16.290154,-63.588653,8033035.0,11513100.0,Amérique
